Time of Day,Full Date,#Seals,Temperature(C),Temperature B (C),Average Temp (C),Tide (ft)
6:30,11/18/2014 6:30:00,0,,6,,5.1
7:00,11/18/2014 7:00:00,0,,7,,5.2
7:30,11/18/2014 7:30:00,0,,7,,5.2
8:00,11/18/2014 8:00:00,0,,8,,4.9
8:30,11/18/2014 8:30:00,0,,10,,4.8
9:00,11/18/2014 9:00:00,0,20,12,16,4.3
9:30,11/18/2014 9:30:00,0,21,15,18,4
10:00,11/18/2014 10:00:00,1,23,15,19,3.3
10:30,11/18/2014 10:30:00,0,21,15,18,3
11:00,11/18/2014 11:00:00,27,16,16,16,2.3
11:30,11/18/2014 11:30:00,16,17,17,17,2
12:00,11/18/2014 12:00:00,14,17,17,17,1.4
12:30,11/18/2014 12:30:00,11,21,21,21,1.2
13:00,11/18/2014 13:00:00,13,21,21,21,1
13:30,11/18/2014 13:30:00,0,22,21,21.5,0.8
14:00,11/18/2014 14:00:00,1,20,23,21.5,0.8
14:30,11/18/2014 14:30:00,0,21,21,21,0.9
15:00,11/18/2014 15:00:00,0,22,21,21.5,1.1
15:30,11/18/2014 15:30:00,0,21,21,21,1.4
16:00,11/18/2014 16:00:00,2,20,20,20,1.6
16:30,11/18/2014 16:30:00,0,17,16,16.5,2
17:00,11/18/2014 17:00:00,0,,,,2.3
6:30,11/19/2014 6:30:00,1,10,10,,5.3
7:00,11/19/2014 7:00:00,0,11,10,10.5,5.4
7:30,11/19/2014 7:30:00,0,12,10,11,5.5
8:00,11/19/2014 8:00:00,0,15,12,13.5,5.5
8:30,11/19/2014 8:30:00,0,15,13,14,5.2
9:00,11/19/2014 9:00:00,0,16,15,15.5,5
9:30,11/19/2014 9:30:00,0,17,15,16,4.4
10:00,11/19/2014 10:00:00,8,17,15,16,4.1
10:30,11/19/2014 10:30:00,7,20,15,17.5,3.2
11:00,11/19/2014 11:00:00,11,20,15,17.5,2.9
11:30,11/19/2014 11:30:00,6,20,16,18,2.2
12:00,11/19/2014 12:00:00,4,20,16,18,1.7
12:30,11/19/2014 12:30:00,0,20,17,18.5,1.2
13:00,11/19/2014 13:00:00,0,20,16,18,0.8
13:30,11/19/2014 13:30:00,0,20,17,18.5,0.6
14:00,11/19/2014 14:00:00,0,21,17,19,0.3
14:30,11/19/2014 14:30:00,0,21,17,19,0.3
15:00,11/19/2014 15:00:00,0,20,22,21,0.4
15:30,11/19/2014 15:30:00,0,17,20,18.5,0.6
16:00,11/19/2014 16:00:00,0,17,17,17,0.8
16:30,11/19/2014 16:30:00,0,16,17,16.5,1.3
17:00,11/19/2014 17:00:00,0,15,16,15.5,1.5
7:00,11/20/2014 7:00:00,0,8,8,8,5.5
7:30,11/20/2014 7:30:00,0,10,10,10,5.7
8:00,11/20/2014 8:00:00,0,10,10,10,5.7
8:30,11/20/2014 8:30:00,0,11,11,11,5.7
9:00,11/20/2014 9:00:00,5,13,13,13,5.4
9:30,11/20/2014 9:30:00,7,15,15,15,5.2
10:00,11/20/2014 10:00:00,6,15,15,15,4.5
10:30,11/20/2014 10:30:00,5,15,15,15,4.1
11:00,11/20/2014 11:00:00,2,15,15,15,3.3
11:30,11/20/2014 11:30:00,2,17,15,16,2.8
12:00,11/20/2014 12:00:00,3,17,15,16,2.4
12:30,11/20/2014 12:30:00,2,15,15,15,1.5
13:00,11/20/2014 13:00:00,0,15,15,15,1.1
13:30,11/20/2014 13:30:00,0,16,15,15.5,0.6
14:00,11/20/2014 14:00:00,0,15,15,15,0.2
14:30,11/20/2014 14:30:00,0,15,15,15,-0.1
15:00,11/20/2014 15:00:00,0,16,15,15.5,-0.1
15:30,11/20/2014 15:30:00,0,15,13,14,0
16:00,11/20/2014 16:00:00,0,15,13,14,0.1
16:30,11/20/2014 16:30:00,0,13,12,12.5,0.5
17:00,11/20/2014 17:00:00,0,13,12,12.5,0.7
7:00,11/21/2014 7:00:00,0,7,6,6.5,5.3
7:30,11/21/2014 7:30:00,0,12,8,10,5.6
8:00,11/21/2014 8:00:00,0,15,10,12.5,5.8
8:30,11/21/2014 8:30:00,0,16,11,13.5,5.9
9:00,11/21/2014 9:00:00,0,20,12,16,5.9
9:30,11/21/2014 9:30:00,0,17,12,14.5,5.6
10:00,11/21/2014 10:00:00,3,17,12,14.5,5.3
10:30,11/21/2014 10:30:00,4,16,12,14,4.6
11:00,11/21/2014 11:00:00,6,16,13,14.5,4.2
11:30,11/21/2014 11:30:00,5,16,15,15.5,3.5
12:00,11/21/2014 12:00:00,6,17,15,16,2.7
12:30,11/21/2014 12:30:00,4,20,17,18.5,2.2
13:00,11/21/2014 13:00:00,0,20,20,20,1.3
13:30,11/21/2014 13:30:00,0,21,21,21,0.8
14:00,11/21/2014 14:00:00,0,20,17,18.5,0.2
14:30,11/21/2014 14:30:00,0,17,20,18.5,-0.1
15:00,11/21/2014 15:00:00,0,17,20,18.5,-0.3
15:30,11/21/2014 15:30:00,0,16,20,18,-0.5
16:00,11/21/2014 16:00:00,0,15,17,16,-0.5
16:30,11/21/2014 16:30:00,0,15,16,15.5,-0.2
17:00,11/21/2014 17:00:00,0,13,13,13,-0.1
7:00,11/22/2014 7:00:00,0,6,5,5.5,5.1
7:30,11/22/2014 7:30:00,2,8,6,7,5.5
8:00,11/22/2014 8:00:00,0,10,7,8.5,5.9
8:30,11/22/2014 8:30:00,0,20,10,15,6
9:00,11/22/2014 9:00:00,0,20,12,16,6.1
9:30,11/22/2014 9:30:00,0,21,15,18,6.1
10:00,11/22/2014 10:00:00,10,20,15,17.5,5.9
10:30,11/22/2014 10:30:00,13,22,16,19,5.5
11:00,11/22/2014 11:00:00,16,21,16,18.5,5.1
11:30,11/22/2014 11:30:00,18,21,16,18.5,4.3
12:00,11/22/2014 12:00:00,21,20,16,18,3.8
12:30,11/22/2014 12:30:00,18,20,16,18,2.7
13:00,11/22/2014 13:00:00,13,20,16,18,2.2
13:30,11/22/2014 13:30:00,6,20,15,17.5,1.7
14:00,11/22/2014 14:00:00,1,17,16,16.5,0.7
14:30,11/22/2014 14:30:00,0,16,15,15.5,0.3
15:00,11/22/2014 15:00:00,0,16,15,15.5,-0.3
15:30,11/22/2014 15:30:00,0,16,16,16,-0.5
16:00,11/22/2014 16:00:00,0,16,15,15.5,-0.6
16:30,11/22/2014 16:30:00,0,15,13,14,-0.7
17:00,11/22/2014 17:00:00,0,15,13,14,-0.6
7:00,11/23/2014 7:00:00,0,10,8,9,4.5
7:30,11/23/2014 7:30:00,0,15,10,12.5,5
8:00,11/23/2014 8:00:00,0,13,10,11.5,5.5
8:30,11/23/2014 8:30:00,0,20,12,16,5.7
9:00,11/23/2014 9:00:00,0,20,13,16.5,6
9:30,11/23/2014 9:30:00,0,21,15,18,6.1
10:00,11/23/2014 10:00:00,0,20,15,17.5,6.1
10:30,11/23/2014 10:30:00,0,21,15,18,5.9
11:00,11/23/2014 11:00:00,6,20,15,17.5,5.4
11:30,11/23/2014 11:30:00,6,21,16,18.5,5.1
12:00,11/23/2014 12:00:00,10,21,20,20.5,4.7
12:30,11/23/2014 12:30:00,16,21,20,20.5,3.7
13:00,11/23/2014 13:00:00,11,21,21,21,3.2
13:30,11/23/2014 13:30:00,0,21,22,21.5,2.1
14:00,11/23/2014 14:00:00,0,22,23,22.5,1.5
14:30,11/23/2014 14:30:00,0,21,23,22,1
15:00,11/23/2014 15:00:00,0,21,25,23,0.1
15:30,11/23/2014 15:30:00,0,22,27,24.5,-0.2
16:00,11/23/2014 16:00:00,0,21,26,23.5,-0.5
16:30,11/23/2014 16:30:00,0,20,22,21,-0.8
17:00,11/23/2014 17:00:00,0,16,16,16,-0.9
7:00,11/24/2014 7:00:00,0,3,2,2.5,4
7:30,11/24/2014 7:30:00,0,11,5,8,4.5
8:00,11/24/2014 8:00:00,0,16,8,12,4.8
8:30,11/24/2014 8:30:00,0,23,11,17,5.3
9:00,11/24/2014 9:00:00,4,25,15,20,5.8
9:30,11/24/2014 9:30:00,0,21,15,18,5.9
10:00,11/24/2014 10:00:00,0,20,15,17.5,6.1
10:30,11/24/2014 10:30:00,0,20,15,17.5,6.1
11:00,11/24/2014 11:00:00,0,17,15,16,5.9
11:30,11/24/2014 11:30:00,6,20,15,17.5,5.7
12:00,11/24/2014 12:00:00,10,20,17,18.5,5.1
12:30,11/24/2014 12:30:00,12,21,20,20.5,4.7
13:00,11/24/2014 13:00:00,10,21,21,21,4.2
13:30,11/24/2014 13:30:00,9,21,22,21.5,3.2
14:00,11/24/2014 14:00:00,0,22,25,23.5,2.4
14:30,11/24/2014 14:30:00,2,22,26,24,2.1
15:00,11/24/2014 15:00:00,0,22,26,24,1
15:30,11/24/2014 15:30:00,0,21,25,23,0.6
16:00,11/24/2014 16:00:00,0,21,23,22,0.1
16:30,11/24/2014 16:30:00,0,20,22,21,-0.5
17:00,11/24/2014 17:00:00,0,16,16,16,-0.7
7:00,11/25/2014 7:00:00,0,5,3,4,3.2
7:30,11/25/2014 7:30:00,0,10,5,7.5,3.6
8:00,11/25/2014 8:00:00,0,15,6,10.5,4.2
8:30,11/25/2014 8:30:00,0,21,10,15.5,4.4
9:00,11/25/2014 9:00:00,0,23,10,16.5,4.9
9:30,11/25/2014 9:30:00,0,26,11,18.5,5.3
10:00,11/25/2014 10:00:00,0,26,13,19.5,5.5
10:30,11/25/2014 10:30:00,0,26,15,20.5,5.7
11:00,11/25/2014 11:00:00,0,25,15,20,5.8
11:30,11/25/2014 11:30:00,0,21,16,18.5,5.8
12:00,11/25/2014 12:00:00,2,21,17,19,5.7
12:30,11/25/2014 12:30:00,2,22,20,21,5.2
13:00,11/25/2014 13:00:00,3,22,21,21.5,4.8
13:30,11/25/2014 13:30:00,2,22,21,21.5,4
14:00,11/25/2014 14:00:00,5,22,23,22.5,3.5
14:30,11/25/2014 14:30:00,0,22,25,23.5,3
15:00,11/25/2014 15:00:00,0,21,26,23.5,2
15:30,11/25/2014 15:30:00,0,21,26,23.5,1.5
16:00,11/25/2014 16:00:00,0,21,26,23.5,1
16:30,11/25/2014 16:30:00,0,20,25,22.5,0.2
17:00,11/25/2014 17:00:00,0,15,15,15,-0.2
7:00,11/26/2014 7:00:00,0,5,2,3.5,2.8
7:30,11/26/2014 7:30:00,0,10,5,7.5,3.1
8:00,11/26/2014 8:00:00,2,13,6,9.5,3.5
8:30,11/26/2014 8:30:00,0,15,8,11.5,3.7
9:00,11/26/2014 9:00:00,0,21,12,16.5,4.1
9:30,11/26/2014 9:30:00,0,25,15,20,4.5
10:00,11/26/2014 10:00:00,1,26,15,20.5,4.7
10:30,11/26/2014 10:30:00,1,26,16,21,5.1
11:00,11/26/2014 11:00:00,2,25,15,20,5.4
11:30,11/26/2014 11:30:00,0,25,17,21,5.4
12:00,11/26/2014 12:00:00,0,26,21,23.5,5.5
12:30,11/26/2014 12:30:00,0,26,23,24.5,5.5
13:00,11/26/2014 13:00:00,0,26,23,24.5,5.2
13:30,11/26/2014 13:30:00,0,23,22,22.5,4.9
14:00,11/26/2014 14:00:00,0,25,25,25,4.6
14:30,11/26/2014 14:30:00,1,23,26,24.5,3.9
15:00,11/26/2014 15:00:00,0,21,25,23,3.4
15:30,11/26/2014 15:30:00,0,21,26,23.5,2.5
16:00,11/26/2014 16:00:00,0,21,26,23.5,2
16:30,11/26/2014 16:30:00,1,20,23,21.5,1.5
17:00,11/26/2014 17:00:00,0,15,15,15,0.7
7:00,11/27/2014 7:00:00,0,5,3,4,2.7
7:30,11/27/2014 7:30:00,0,8,5,6.5,2.7
8:00,11/27/2014 8:00:00,0,12,5,8.5,2.8
8:30,11/27/2014 8:30:00,0,15,8,11.5,2.9
9:00,11/27/2014 9:00:00,0,20,11,15.5,3.2
9:30,11/27/2014 9:30:00,0,23,15,19,3.5
10:00,11/27/2014 10:00:00,0,27,17,22,3.8
10:30,11/27/2014 10:30:00,0,23,16,19.5,4
11:00,11/27/2014 11:00:00,2,23,15,19,4.4
11:30,11/27/2014 11:30:00,17,23,15,19,4.7
12:00,11/27/2014 12:00:00,18,22,16,19,4.8
12:30,11/27/2014 12:30:00,18,22,17,19.5,4.9
13:00,11/27/2014 13:00:00,21,22,20,21,5
13:30,11/27/2014 13:30:00,23,21,20,20.5,5
14:00,11/27/2014 14:00:00,0,21,20,20.5,4.7
14:30,11/27/2014 14:30:00,0,21,20,20.5,4.5
15:00,11/27/2014 15:00:00,0,21,21,21,4.2
15:30,11/27/2014 15:30:00,0,20,21,20.5,3.5
16:00,11/27/2014 16:00:00,0,17,22,19.5,3.2
16:30,11/27/2014 16:30:00,0,15,22,18.5,2.4
17:00,11/27/2014 17:00:00,0,15,15,15,1.9
7:00,11/28/2014 7:00:00,0,1,1,1,3
7:30,11/28/2014 7:30:00,0,5,1,3,2.8
8:00,11/28/2014 8:00:00,0,10,3,6.5,2.6
8:30,11/28/2014 8:30:00,0,12,5,8.5,2.5
9:00,11/28/2014 9:00:00,0,15,8,11.5,2.5
9:30,11/28/2014 9:30:00,9,21,11,16,2.6
10:00,11/28/2014 10:00:00,13,21,12,16.5,2.7
10:30,11/28/2014 10:30:00,21,21,12,16.5,2.9
11:00,11/28/2014 11:00:00,20,17,11,14,3.2
11:30,11/28/2014 11:30:00,0,16,12,14,3.5
12:00,11/28/2014 12:00:00,0,17,13,15,3.8
12:30,11/28/2014 12:30:00,0,20,15,17.5,4.1
13:00,11/28/2014 13:00:00,0,21,17,19,4.2
13:30,11/28/2014 13:30:00,0,21,21,21,4.4
14:00,11/28/2014 14:00:00,0,21,21,21,4.5
14:30,11/28/2014 14:30:00,1,20,21,20.5,4.5
15:00,11/28/2014 15:00:00,1,20,21,20.5,4.4
15:30,11/28/2014 15:30:00,2,20,22,21,4.1
16:00,11/28/2014 16:00:00,5,17,22,19.5,3.9
16:30,11/28/2014 16:30:00,5,15,21,18,3.6
17:00,11/28/2014 17:00:00,4,13,13,13,3
7:00,11/29/2014 7:00:00,0,3,1,2,3.6
7:30,11/29/2014 7:30:00,0,5,2,3.5,3.2
8:00,11/29/2014 8:00:00,0,5,3,4,3
8:30,11/29/2014 8:30:00,0,6,5,5.5,2.6
9:00,11/29/2014 9:00:00,0,13,8,10.5,2.4
9:30,11/29/2014 9:30:00,0,20,11,15.5,2.2
10:00,11/29/2014 10:00:00,0,21,12,16.5,2.1
10:30,11/29/2014 10:30:00,0,22,13,17.5,2.1
11:00,11/29/2014 11:00:00,20,22,15,18.5,2.2
11:30,11/29/2014 11:30:00,16,22,15,18.5,2.3
12:00,11/29/2014 12:00:00,15,21,16,18.5,2.5
12:30,11/29/2014 12:30:00,21,21,17,19,2.8
13:00,11/29/2014 13:00:00,0,21,17,19,3.1
13:30,11/29/2014 13:30:00,6,21,20,20.5,3.4
14:00,11/29/2014 14:00:00,0,22,16,19,3.6
14:30,11/29/2014 14:30:00,0,17,15,16,3.7
15:00,11/29/2014 15:00:00,0,16,17,16.5,3.9